MONTH,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,REV_ACRFT_HRS_AIRBORNE_610
1,04Q,Tradewind Aviation,D,387.00
1,04Q,Tradewind Aviation,D,387.00
1,04Q,Tradewind Aviation,D,547.00
1,04Q,Tradewind Aviation,D,547.00
1,04Q,Tradewind Aviation,D,933.00
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D,2658.00
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D,2658.00
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D,2658.00
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I,624.00
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I,624.00
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I,624.00
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D,32.00
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D,104.00
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D,104.00
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,4.00
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,4.00
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,33.00
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,33.00
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,37.00
1,1EQ,"KaiserAir, Inc.",D,166.00
1,1EQ,"KaiserAir, Inc.",D,166.00
1,1EQ,"KaiserAir, Inc.",D,166.00
1,1QQ,City Wings Inc dba Seaflight,D,104.00
1,1QQ,City Wings Inc dba Seaflight,D,104.00
1,1QQ,City Wings Inc dba Seaflight,D,104.00
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,7.00
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,101.00
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,101.00
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,154.00
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,161.00
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,262.00
1,2E,Smokey Bay Air Inc.,D,67.00
