DEPARTURES_PERFORMED,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,DATA_SOURCE,FUEL_CONSUMPTION
1,67,14,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10216,AHN,"Athens, GA",608,1,DU,4850
1,83,21,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11150,CSG,"Columbus, GA",608,3,DU,4850
1,83,22,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11150,CSG,"Columbus, GA",698,2,DU,5234
1,83,29,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11150,CSG,"Columbus, GA",608,4,DU,4850
1,106,21,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",694,3,DU,5291
1,106,24,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",699,6,DU,6336
1,106,80,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",694,5,DU,5291
1,134,25,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10599,BHM,"Birmingham, AL",694,1,DU,5291
1,134,26,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10599,BHM,"Birmingham, AL",698,2,DU,5234
1,134,27,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10599,BHM,"Birmingham, AL",622,4,DU,7319
1,134,29,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10599,BHM,"Birmingham, AL",626,12,DU,11023
1,134,31,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10599,BHM,"Birmingham, AL",614,9,DU,5578
1,134,134,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10599,BHM,"Birmingham, AL",622,2,DU,7319
1,143,38,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10208,AGS,"Augusta, GA",608,4,DU,4850
1,143,55,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10208,AGS,"Augusta, GA",888,8,DU,5732
1,147,34,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13277,MGM,"Montgomery, AL",622,10,DU,7319
1,151,28,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12217,HSV,"Huntsville, AL",888,4,DU,5732
1,151,28,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12217,HSV,"Huntsville, AL",888,8,DU,5732
1,151,31,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12217,HSV,"Huntsville, AL",888,6,DU,5732
1,152,26,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",622,11,DU,7319
1,152,27,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",614,8,DU,5578
1,152,28,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",614,9,DU,5578
1,152,28,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",694,1,DU,5291
1,152,28,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",694,10,DU,5291
1,152,29,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",608,3,DU,4850
1,152,30,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",687,12,DU,12566
1,152,32,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",614,2,DU,5578
1,152,33,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",614,10,DU,5578
