NET_INCOME,OP_PROFIT_LOSS,OP_REVENUES,OP_EXPENSES,INCOME_PRE_TAX,INCOME_TAX,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,REGION,YEAR,QUARTER
-712607.00,-746208.00,1876026.00,2622234.00,-879867.00,-167260.00,FX,Federal Express Corporation,Federal Express Corporation,A,2023,2
-664116.00,-815268.00,1812034.00,2627302.00,-687582.00,-23466.00,FX,Federal Express Corporation,Federal Express Corporation,A,2023,3
-651886.00,-655370.00,1920594.00,2575964.00,-704701.00,-52815.00,FX,Federal Express Corporation,Federal Express Corporation,A,2023,4
-441253.89,-470334.63,1563516.03,2033850.66,-506497.03,-65243.14,B6,JetBlue Airways,JetBlue Airways,D,2023,3
-340954.00,-452214.00,1307316.00,1759530.00,-427322.00,-86368.00,FX,Federal Express Corporation,Federal Express Corporation,P,2023,4
-298791.00,-618862.00,1960869.00,2579731.00,-374008.00,-75217.00,FX,Federal Express Corporation,Federal Express Corporation,A,2023,1
-294047.62,-294047.62,1169433.32,1463480.94,-294047.62,0.00,AA,American Airlines Inc.,American Airlines Inc.,A,2023,1
-288914.60,-288914.60,1590649.17,1879563.77,-288914.60,0.00,AA,American Airlines Inc.,American Airlines Inc.,A,2023,4
-269884.00,-319553.00,1293038.00,1612591.00,-330195.00,-60311.00,FX,Federal Express Corporation,Federal Express Corporation,P,2023,3
-266784.57,-266784.57,2372463.87,2639248.44,-266784.57,0.00,AA,American Airlines Inc.,American Airlines Inc.,A,2023,3
-258801.65,-234102.19,7166684.19,7400786.38,-340538.61,-81736.96,UA,United Air Lines Inc.,United Air Lines Inc.,D,2023,1
-246235.00,-394802.00,6663456.00,7058258.00,-279529.00,-33294.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,D,2023,4
-233930.65,-295070.82,1688688.19,1983759.01,-324928.57,-90997.92,B6,JetBlue Airways,JetBlue Airways,D,2023,1
-218184.76,31995.27,9166566.02,9134570.75,-325028.27,-106843.51,AA,American Airlines Inc.,American Airlines Inc.,D,2023,3
-185853.00,437900.00,9553721.00,9115821.00,-288589.00,-102736.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,D,2023,1
-171422.84,-188732.95,1108406.03,1297138.98,-200177.86,-28755.02,5X,United Parcel Service,United Parcel Service,D,2023,4
-161797.28,-189249.97,1164470.54,1353720.51,-201109.27,-39311.99,NK,Spirit Air Lines,Spirit Air Lines,D,2023,4
-153850.00,-274205.00,5504766.00,5778971.00,-197150.00,-43300.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,D,2023,1
-153549.90,-219473.99,971188.95,1190662.94,-223947.04,-70397.14,5X,United Parcel Service,United Parcel Service,D,2023,3
-150004.32,-151480.60,16665.94,168146.54,-152974.52,-2970.20,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,P,2023,3
-144284.30,-202249.47,1221470.75,1423720.22,-212454.12,-68169.82,5X,United Parcel Service,United Parcel Service,D,2023,1
-138721.03,-133100.80,1832488.01,1965588.81,-182695.39,-43974.37,UA,United Air Lines Inc.,United Air Lines Inc.,A,2023,1
-136596.97,-163654.12,1091156.48,1254810.59,-176559.18,-39962.20,NK,Spirit Air Lines,Spirit Air Lines,D,2023,3
-134439.12,-134090.48,332364.73,466455.21,-133928.63,510.49,5Y,Atlas Air Inc.,Atlas Air Inc.,D,2023,1
-125149.82,-140771.45,485229.31,626000.76,-146536.26,-21386.44,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,D,2023,1
-123079.00,-12145.00,1489919.00,1502064.00,-141626.00,-18547.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,A,2023,1
-119567.00,-121535.00,2067664.00,2189198.00,-160772.00,-41204.00,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,D,2023,1
-113386.00,-208492.00,1316056.00,1524548.00,-192218.00,-78832.00,FX,Federal Express Corporation,Federal Express Corporation,P,2023,1
-112099.33,-58663.79,1679150.31,1737814.09,-118926.79,-6827.46,B6,JetBlue Airways,JetBlue Airways,D,2023,4
-102056.73,-130756.26,1082000.98,1212757.24,-140969.77,-38913.04,5X,United Parcel Service,United Parcel Service,D,2023,2
-101340.00,-245597.00,1295999.00,1541596.00,-187471.00,-86131.00,FX,Federal Express Corporation,Federal Express Corporation,P,2023,2
-100168.00,-90197.24,361819.41,452016.65,-91509.55,8658.45,5Y,Atlas Air Inc.,Atlas Air Inc.,D,2023,2
-99670.48,-107336.67,506402.70,613739.38,-118976.31,-19305.83,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,D,2023,4
-92595.00,-92434.00,348563.00,440997.00,-123707.00,-31112.00,FX,Federal Express Corporation,Federal Express Corporation,L,2023,3
-90765.00,-93591.00,339027.00,432618.00,-116918.00,-26153.00,FX,Federal Express Corporation,Federal Express Corporation,L,2023,4
-90506.64,-97896.70,1175653.34,1273550.03,-123375.39,-32868.75,NK,Spirit Air Lines,Spirit Air Lines,D,2023,1
-89175.51,-89330.76,143826.04,233156.80,-89175.51,0.00,9E,Endeavor Air Inc.,Endeavor Air Inc.,D,2023,1
-85584.19,-87176.94,135872.16,223049.09,-85584.19,0.00,9E,Endeavor Air Inc.,Endeavor Air Inc.,D,2023,2
-83882.43,5627.38,839170.10,833542.72,13721.71,97604.14,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,D,2023,4
-81494.79,-81882.13,137737.43,219619.56,-81494.79,0.00,9E,Endeavor Air Inc.,Endeavor Air Inc.,D,2023,3
-80714.28,-81753.38,139841.55,221594.93,-80714.28,0.00,9E,Endeavor Air Inc.,Endeavor Air Inc.,D,2023,4
-77875.92,-77875.92,315643.55,393519.47,-77875.92,0.00,AA,American Airlines Inc.,American Airlines Inc.,P,2023,4
-76480.00,-107080.00,354290.00,461370.00,-116212.00,-39732.00,FX,Federal Express Corporation,Federal Express Corporation,L,2023,2
-74171.00,-80155.00,342377.00,422532.00,-112688.00,-38517.00,FX,Federal Express Corporation,Federal Express Corporation,L,2023,1
-64298.35,-64298.35,306619.08,370917.43,-64298.35,0.00,AA,American Airlines Inc.,American Airlines Inc.,P,2023,3
-52031.00,47819.00,2390654.00,2342835.00,14043.00,66074.00,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,D,2023,4
-50205.64,-49839.18,97112.01,146951.18,-50205.64,0.00,MX,Breeze Aviation Group DBA  Breeze,Breeze Aviation Group DBA  Breeze,D,2023,3
-50176.05,-59559.69,564214.28,623773.96,-60915.85,-10739.79,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,D,2023,1
-47861.61,-47961.13,67377.61,115338.74,-47861.61,0.00,MX,Breeze Aviation Group DBA  Breeze,Breeze Aviation Group DBA  Breeze,D,2023,1
-43791.12,1853.66,106621.64,104767.97,-43791.12,0.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,D,2023,4
-43110.93,-36012.15,56865.57,92877.73,-43163.10,-52.17,KD,Western Global,Western Global,I,2023,3
